patient_id,staff_id
f5d6f6f3-8dc9-4f68-bd7a-0055380e3012,2d53dbc1-a441-42f9-b9ba-92823f81c206
af5cb1d1-58b0-4cc4-a903-5f5ce11fb473,c1d3b4c5-5070-4fb1-a98b-1e802a2cb1fe
4f6d6207-d5c8-4d3b-b218-58325c3173e6,c56f9a66-f64e-4760-b626-f4e649f48452
bc9e872b-1cc2-4256-a73e-1adb9399238c,aa290e67-71d6-4a53-b754-79bcf1aa5e22
03e8a712-3beb-416b-a0d7-a881206d1eea,ec147a38-ea4e-4d7b-a76a-c84bfb80127f
0d5459ff-76b4-4281-a50d-c269a639c0b9,6feae60c-74f8-43fc-8de0-213226f8a951
56b7c28b-15de-42f5-976f-45b92e271a10,2f42c608-a0af-40bc-b10a-b0109f534350
13263f0a-e982-4e51-a14c-af5d32c1eb22,26f8e9ef-2d98-4f8d-a316-ae9a8a55226a
82e9597e-7efa-4aac-ae03-1d11a5d90cdb,d586c085-6983-4197-bef7-32b876f9b9f2
c7f875bb-cde6-48e4-87c0-0420cb6a72a1,06814023-ddfe-4513-afd0-91fd4b0c1412
0e102c69-3235-4779-987c-0c512b742513,293a86ff-e064-4a09-ab59-f91840578a8d
b48e4760-ac10-42b3-8efe-20344538bdfc,c8101914-c842-4031-8c3b-9af80a0a7a7d
acb19e3f-9fa3-4663-9d99-fe042a4697ff,56153f15-cf0b-4771-8da1-9a70ac2a64dd
382446c0-b93d-46f0-a454-91a090456da9,19cbefb2-f57b-4e15-9dc8-7ac4a1b30535
098f4c88-0c1e-483f-b1e7-f41992835459,f9dc3daf-087e-4d00-940b-b5735603a5da
43735fe0-168e-4946-9292-f726a3ba0211,48a39ec9-1550-4176-a305-7962067e057e
1c76a779-4d6f-48e8-a000-3d9ff7a8cc3d,bba169d0-e0ee-415f-bc22-05b97febf674
4b2f1cb5-d80f-4d85-b6c5-8844dbc0cc41,0eaa503f-02b4-4313-9604-2969d5fd2e6c
62919c5a-bd69-4ab3-bd29-23bdb51b33cf,ccbe48d9-4670-45c1-98d5-0fd390b3aef2
b7452e16-29f6-43f0-bb0f-67886c4cd3bf,5248d0e0-fad9-4dec-bcbe-225ec966a3e5
4d5cd1b5-f2b7-4efa-91a5-8f99b6fb9ad1,1607790b-f62a-49b7-80b6-f7c8127e3cf4
34447033-4288-42eb-b15e-0b80bac6b68c,eb5e5d3a-2a1b-416b-a647-26d0954be42b
96b5e8ec-54f4-4e9c-bf2a-d3f8f2dcf031,66ceca07-b37c-4604-8708-9a3fefb7bf08
30bc7abc-e0e2-4ac6-a534-8f4f50d5bdb6,c36a81fb-d993-41a6-89ae-f1db9acd8262
3221d239-bc70-4533-af3a-05c90d5eec9f,e16d4fa0-07b6-4f00-8bdf-57daa45d90d3
82084eab-c9b4-437b-ac4a-fc45a3a8971c,dd25e907-a87f-4015-934b-bb5d1d994361
3350272e-0fdd-4dd9-a296-4a584155d8f9,f78b909c-b999-4284-b705-5a64a1fee0c6
1430d90f-36db-4f02-be2b-48892f2afef7,59ffce36-47c8-4f9d-b035-4a7f0716528c
a81d4e7e-4df7-4efc-832a-7e78de50d69d,eb5e5d3a-2a1b-416b-a647-26d0954be42b
9de93654-b790-4a62-8bd6-bbfeb52dff98,4cb22f96-2a19-4035-9ab2-0c9985e231f8
1bcbd5bf-a197-4abd-8369-5c8d938f930e,58f57942-6790-4f40-9a5d-b146c916fb2e
c06380bd-a2d7-425a-974f-3a8df0b8d398,daa0f717-9592-4b6a-a087-71fd01f2fe67
56f1d8ca-8766-4ee7-a07e-9c7e8fd00437,c1d3b4c5-5070-4fb1-a98b-1e802a2cb1fe
0d774708-5c00-44d8-aef8-fd9cf70d2fcb,c047099d-9a16-4931-a99a-9d37f99b378b
5cde82cc-8532-4e8f-850d-e0e82af7f4a2,b7fe4135-40f4-4163-9a13-d272b807237b
02e987af-44eb-40ca-81bb-ff21d29ae090,ede073c5-01b7-48de-9ee2-da9a8ff7c599
c029f18f-6f89-40d2-9d9b-81d0fbc4c089,1d47c630-3ee5-471d-91ce-73d10fa1facb
e80fd811-bd68-4c17-8362-337622f232ca,3ec0f2ee-38c5-43d1-8a49-b9565f9c26ae
4e4442f5-162d-41ab-b026-62ba49d4fb25,e95d3358-b0ad-49a5-8da3-679a0e73a4f3
d1326b0f-d514-419d-ac1a-1f2907e1dce7,67828143-a467-45a0-a081-114cafbd4e93
443327a9-a5fc-461d-ba13-4c2af48ef063,f34a629d-d342-47f4-84fa-c35d6f720642
4f7242f6-31e3-4021-ae65-ec863c2c60c5,55ceca25-f76c-4796-a4ed-ba50267b948c
be59674e-94ca-4d90-8286-e2f1d6f7dcc1,35276625-aef9-4b16-b3cd-75698bd75d4f
87a8427c-0f15-4351-96f7-06b90ecaa107,2cfaf68c-5061-4d9b-b03f-61038d725857
6aeed028-80fe-49fb-9aed-d92ee3876a3d,14392bce-f95e-40f4-99aa-875bf00d6c35
770980dc-07a5-4fb8-9f21-0edb64cb970f,51fab39a-2430-49e6-9b3f-1a3ea88531be
1a56d5e2-ae18-4107-bd57-87b84a352c68,337c750f-b582-45d7-aa6a-6aff232fa6d8
a0654bb6-c92f-4cc6-bb0f-40cfa5322676,a903168d-291f-40f9-b753-33db4a7ae296
b6537c70-c035-48e1-86fc-221b4c3ad37a,d82e536b-336d-4aa2-a393-6593c12a2dd2
a18ac929-d5f6-4d2c-973e-06316cd1f1c9,249c1833-9707-4bed-a138-ea099b07ecf5
38c193f8-03bd-4323-865e-bf7d775cb95b,e95d3358-b0ad-49a5-8da3-679a0e73a4f3
41804c4a-1cb7-429d-a59a-87e8cd2c0095,674fc887-6c22-40eb-8f06-0bbfa0bbdc5d
4ca1a3c9-8510-4d62-9d68-ef7de4c55132,5cbbc413-5008-4baf-bef9-24918af75ac9
b762ca83-fcdd-4827-92a4-09f6d225b0e8,6b8c1d7c-e8fb-4ab5-b966-26eace977742
2f4603d1-29ce-48a5-9942-03a2a623e683,673092ce-52bf-4ed9-b92e-c6f153671faa
