office_id,patient_id
f0769cbb-e09b-4669-97f9-e1e9fae2f503,f5d6f6f3-8dc9-4f68-bd7a-0055380e3012
1d05d59f-14d2-4bf8-9653-54803c2d227f,af5cb1d1-58b0-4cc4-a903-5f5ce11fb473
e58e5d6c-3928-499c-8388-27dbc7dca57a,4f6d6207-d5c8-4d3b-b218-58325c3173e6
c97ecb78-a554-4d84-aec6-74b7eaf2f97d,bc9e872b-1cc2-4256-a73e-1adb9399238c
9c845d8f-5e7b-40cb-b266-6d9fda877cf6,03e8a712-3beb-416b-a0d7-a881206d1eea
9b522806-9099-4084-b032-a57168da1443,0d5459ff-76b4-4281-a50d-c269a639c0b9
aad9ee6e-49f3-4d54-b428-201fe8da0ce3,56b7c28b-15de-42f5-976f-45b92e271a10
698a6606-c9c0-44c5-9701-5b5730153fa1,13263f0a-e982-4e51-a14c-af5d32c1eb22
b504458e-b544-4f74-b94c-4260d3b41e8e,82e9597e-7efa-4aac-ae03-1d11a5d90cdb
08018222-558f-48bb-ba17-572780313477,c7f875bb-cde6-48e4-87c0-0420cb6a72a1
6163bba5-763e-42f9-88cd-0ffbf4de1365,0e102c69-3235-4779-987c-0c512b742513
b1367072-f619-4f53-80dc-49291303ddcb,b48e4760-ac10-42b3-8efe-20344538bdfc
7099a016-15ee-47f1-8f58-93fd57434a32,acb19e3f-9fa3-4663-9d99-fe042a4697ff
c00713ef-d20d-4d5d-90c9-9742fed2c887,382446c0-b93d-46f0-a454-91a090456da9
9c546526-9620-4b18-af42-e4349ee09ab0,098f4c88-0c1e-483f-b1e7-f41992835459
f0769cbb-e09b-4669-97f9-e1e9fae2f503,43735fe0-168e-4946-9292-f726a3ba0211
ef58a3e1-9d08-4e88-9c78-049169e7ccb6,1c76a779-4d6f-48e8-a000-3d9ff7a8cc3d
3c587c62-c3b9-4733-a3f0-d4d00dfc903a,4b2f1cb5-d80f-4d85-b6c5-8844dbc0cc41
8ff30105-bf96-44f8-9cf9-9915f02722ca,62919c5a-bd69-4ab3-bd29-23bdb51b33cf
2d4b098f-3d83-42fb-afcd-c2de36b55006,b7452e16-29f6-43f0-bb0f-67886c4cd3bf
d9c01737-9eb4-42ff-8b3c-33ec843fd256,4d5cd1b5-f2b7-4efa-91a5-8f99b6fb9ad1
7d9fdede-a561-4241-a240-a0ce2be90994,34447033-4288-42eb-b15e-0b80bac6b68c
46667c02-0aac-416a-830b-39ecd16e99ed,96b5e8ec-54f4-4e9c-bf2a-d3f8f2dcf031
5261663e-aa82-4bc9-b54a-7a79bf396f97,30bc7abc-e0e2-4ac6-a534-8f4f50d5bdb6
e3de4167-8e83-4252-895f-48db25fd1e55,3221d239-bc70-4533-af3a-05c90d5eec9f
d921a0d4-844e-423b-aa25-10f9143bf556,82084eab-c9b4-437b-ac4a-fc45a3a8971c
1567fde0-87cb-49e1-9c0c-3db93acf93b8,3350272e-0fdd-4dd9-a296-4a584155d8f9
eb442861-b163-47f5-b90d-ec7acfcecb16,1430d90f-36db-4f02-be2b-48892f2afef7
7d9fdede-a561-4241-a240-a0ce2be90994,a81d4e7e-4df7-4efc-832a-7e78de50d69d
8d5a9021-5948-48eb-b299-96d24364871a,9de93654-b790-4a62-8bd6-bbfeb52dff98
5261663e-aa82-4bc9-b54a-7a79bf396f97,1bcbd5bf-a197-4abd-8369-5c8d938f930e
dd7c4c2f-76b3-4021-a629-5e019053af36,c06380bd-a2d7-425a-974f-3a8df0b8d398
1d05d59f-14d2-4bf8-9653-54803c2d227f,56f1d8ca-8766-4ee7-a07e-9c7e8fd00437
7f0cef90-fa1f-4dfc-97db-02816fc7afff,0d774708-5c00-44d8-aef8-fd9cf70d2fcb
ff05e9d3-52e8-4044-bb4f-9ea9d0fb6833,5cde82cc-8532-4e8f-850d-e0e82af7f4a2
